taxon,genus,family,vernacular_name,native_status,floral_unit_definition,sugar_per_floral_unit_ug,sugar_data_type,sugar_data_source,comments
Solanum tuberosum,Solanum,Solanaceae,potato,non-native,single flower,27.29,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 1 day)
Solidago canadensis,Solidago,Asteraceae,Canada goldenrod,non-native,single branch of capitulas,415.72,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day) and 5 FUs counted
Solidago gigantea,Solidago,Asteraceae,giant goldenrod,non-native,single branch of capitulas,1034.81,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Solidago virgaurea/rugosa,Solidago,Asteraceae,European/wrinkleleaf goldenrod,native,single capitulum,413.36,empirical,Tew et al. (this study),same species (S. virgaurea); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Sonchus arvensis,Sonchus,Asteraceae,perennial/field sow-thistle,native,single capitulum,627.92,empirical,Baude et al. 2016,same species; 12 flowers measured (1 site on 2 days) and 4 FUs counted
Sonchus asper,Sonchus,Asteraceae,prickly sow-thistle,native,single capitulum,271.37,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 25 FUs counted (4 sites on 4 days); weighted mean used to combine datasets at FU level
Sonchus oleraceus,Sonchus,Asteraceae,"common sowthistle, smooth sowthistle",native,single capitulum,501.17,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 20 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Sorbus aucuparia,Sorbus,Rosaceae,"rowan, mountain ash",native,single flower,40.54,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Spiraea spp,Spiraea,Rosaceae,spiraea,non-native,part of panicle,727.33,empirical,Tew et al. (this study),2 species in genus (unweighted mean of Spiraea japonica and Spiraea sp. (white) combined at FU level); 40 flowers measured (3 sites on 4 days) and 56 FUs counted
Stachys byzantina,Stachys,Lamiaceae,"lamb's ear, woolly hedgenettle",non-native,single flower,640.27,empirical,Tew et al. (this study),same species; 30 flowers measured (2 sites on 2 days)
Stachys officinalis,Stachys,Lamiaceae,"common hedgenettle, betony",native,single flower,311.11,empirical,Baude et al. 2016,1 species in genus (Stachys sylvatica); 19 flowers measured (2 sites on 2 days)
Stachys sylvatica and hybrids,Stachys,Lamiaceae,hedge woundwort,native,single flower,311.11,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days)
Stellaria alsine,Stellaria,Caryophyllaceae,bog stitchwort,native,single flower,9.25,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Stellaria media); 18 flowers measured (2 sites on 2 days); weighted mean used to combine datasets
Stellaria graminea,Stellaria,Caryophyllaceae,"common starwort, grass-leaved stitchwort",native,single flower,24.96,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 21 flowers measured (2 sites on 2 days); weighted mean used to combine datasets
Stellaria holostea,Stellaria,Caryophyllaceae,"greater stitchwort, addersmeat",native,single flower,5.54,empirical,Baude et al. 2016,same species; 5 flowers measured (1 site on 1 day)
Stellaria media,Stellaria,Caryophyllaceae,chickweed,native,single flower,9.25,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 18 flowers measured (2 sites on 2 days); weighted mean used to combine datasets
Streptocarpus sp,Streptocarpus,Gesneriaceae,"Cape primrose, nodding violet",non-native,single flower,568.70,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Succisa pratensis,Succisa,Dipsacaceae,devil's-bit scabious,native,single capitulum,2140.90,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Sutera cordata,Sutera,Scrophulariaceae,bacopa,non-native,single flower,200.79,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Symphoricarpos spp,Symphoricarpos,Caprifoliaceae,snowberry,non-native,single flower,1234.02,empirical,Tew et al. (this study),1 species in genus (Symphoricarpos albus); 30 flowers measured (2 sites on 2 days)
Symphytum spp,Symphytum,Boraginaceae,comfrey,native,single flower,1969.46,empirical,Baude et al. 2016,1 species in genus (Symphytum officinale); 10 flowers measured (1 site on 1 day)
Tagetes erecta,Tagetes,Asteraceae,Mexican marigold,non-native,single capitulum,1227.42,empirical,Tew et al. (this study),1 species in genus (Tagetes patula); 20 flowers measured (1 site on 2 days) and 10 FUs counted
Tagetes patula,Tagetes,Asteraceae,French marigold,non-native,single capitulum,1227.42,empirical,Tew et al. (this study),same species; 20 flowers measured (1 site on 2 days) and 10 FUs counted
Tamus communis,Tamus,Dioscoreaceae,black bryony,native,single flower,49.87,empirical,Timberlake et al. 2019,same species
Tanacetum parthenium,Tanacetum,Asteraceae,feverfew,non-native,single capitulum,45.04,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Taraxacum agg,Taraxacum,Asteraceae,dandelion,native,single capitulum,3337.80,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 21 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Teucrium scorodonia,Teucrium,Lamiaceae,"woodland germander, wood sage",native,single flower,173.61,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Thalictrum aquilegifolium,Thalictrum,Ranunculaceae,greater meadow-rue,non-native,single flower,14.33,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Thalictrum speciosissimum,Thalictrum,Ranunculaceae,yellow meadow-rue,non-native,single flower,14.33,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Thlaspi arvense,Thlaspi,Brassicaceae,field pennycress,non-native,single flower,4.16,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Thymus serpyllum,Thymus,Lamiaceae,Breckland/creeping thyme,native,single flower,24.65,empirical,Baude et al. 2016,1 species in genus (Thymus polytrichus); 10 flowers measured (1 site on 1 day)
Thymus vulgaris,Thymus,Lamiaceae,common/garden thyme,non-native,single flower,24.65,empirical,Baude et al. 2016,1 species in genus (Thymus polytrichus); 10 flowers measured (1 site on 1 day)
Tiarella spp,Tiarella,Saxifragaceae,foamflower,non-native,single flower,60.12,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Tilia spp,Tilia,Malvaceae,"lime, linden",native,single flower,45.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Torilis japonica,Torilis,Apiaceae,erect/upright hedge-parsley,native,secondary umbel,69.91,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Tragopogon porrifolius,Tragopogon,Asteraceae,"salsify, goatsbeard",non-native,single capitulum,496.53,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Tragopogon pratensis,Tragopogon,Asteraceae,"meadow salsify, meadow goat's-beard",native,single capitulum,496.53,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Trifolium arvense,Trifolium,Fabaceae,hare's-foot clover,native,single raceme,134.40,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Trifolium campestre/dubium,Trifolium,Fabaceae,hop/lesser treffoil,native,single raceme,0.00,empirical,Baude et al. 2016,same species (Trifolium dubium); 20 flowers measured (2 sites on 2 days) and 5 FUs counted
Trifolium pratense,Trifolium,Fabaceae,red clover,native,single raceme,2226.84,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 28 flowers measured (3 sites on 3 days) and 10 FUs counted; weighted mean used to combine datasets
Trifolium repens,Trifolium,Fabaceae,white clover,native,single raceme,1015.14,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 26 flowers measured (3 sites on 3 days) and 10 FUs counted; weighted mean used to combine datasets
Tripleurospermum inodorum,Tripleurospermum,Asteraceae,"scentless false mayweed, false chamomile",non-native,single capitulum,1415.79,empirical,Hicks et al. 2016,same species; 11 FUs counted (1 site on 1 day)
Tropaeolum majus,Tropaeolum,Tropaeolaceae,garden nasturtium,non-native,single flower,1181.43,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Tulipa sp,Tulipa,Liliaceae,tulip,non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Tulipa gesneriana); 2 flowers measured (1 site on 1 day)
Tussilago farfara,Tussilago,Asteraceae,coltsfoot,native,single capitulum,496.53,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ulex europaeus,Ulex,Fabaceae,common gorse,native,single flower,1.98,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Ulex minor,Ulex,Fabaceae,dwarf gorse,native,single flower,11.32,empirical,Baude et al. 2016,1 species in genus (Ulex gallii); 14 flowers measured (2 sites on 2 days)
Valeriana officinalis,Valeriana,Caprifoliaceae,common valerian,native,single flower,271.42,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Valerianella spp,Valerianella,Caprifoliaceae,corn salad,native,single flower,91.45,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Verbascum phoeniceum and hybrids,Verbascum,Scrophulariaceae,purple mullein,non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Verbascum thapsus); 10 flowers measured (1 site on 1 day)
Verbena bonariensis,Verbena,Verbenaceae,Argentinian/purpletop vervain,non-native,single flower,18.57,empirical,Tew et al. (this study),same species; 30 flowers measured (2 sites on 2 days)
Verbena x hybrida,Verbena,Verbenaceae,garden verbena,non-native,single flower,7.96,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Veronica agrestis/polita/persica,Veronica,Scrophulariaceae,field-speedwell,non-native,single flower,28.08,empirical,Baude et al. 2016; Hicks et al. 2016,same species (Veronica persica); 23 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Veronica arvensis,Veronica,Scrophulariaceae,"wall speedwell, corn speedwell",native,single flower,2.83,empirical,Baude et al. 2016,1 species in genus (Veronica serpyllifolia); 10 flowers measured (1 site on 1 day)
Veronica chamaedrys,Veronica,Scrophulariaceae,germander speedwell,native,single flower,12.88,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 28 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Veronica filiformis,Veronica,Scrophulariaceae,slender speedwell,non-native,single flower,28.08,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Veronica persica); 23 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Veronica hederifolia,Veronica,Scrophulariaceae,Ivy-leaved Speedwell,non-native,single flower,2.83,empirical,Baude et al. 2016,1 species in genus (Veronica serpyllifolia); 10 flowers measured (1 site on 1 day)
Veronica longifolia,Veronica,Scrophulariaceae,garden speedwell,non-native,single flower,282.14,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Veronica montana,Veronica,Scrophulariaceae,wood speedwell,native,single flower,2.83,empirical,Baude et al. 2016,1 species in genus (Veronica serpyllifolia); 10 flowers measured (1 site on 1 day)
Veronica officinalis,Veronica,Scrophulariaceae,heath/common speedwell,native,single flower,2.83,empirical,Baude et al. 2016,1 species in genus (Veronica serpyllifolia); 10 flowers measured (1 site on 1 day)
Veronica serpyllifolia,Veronica,Scrophulariaceae,thyme-leaved speedwell,native,single flower,2.83,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Veronica sp (subgenus PseudoVeronica),Veronica,Scrophulariaceae,"hebe, shrubby veronica",non-native,single raceme,1461.60,empirical,Tew et al. (this study),1 species in genus (Hebe buxifolia); 30 flowers measured (2 sites on 2 days) and 9 FUs counted
Veronica spicata,Veronica,Scrophulariaceae,spiked speedwell,native,single flower,373.95,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Viburnum davidii,Viburnum,Caprifoliaceae,David viburnum,non-native,single flower,75.08,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Viburnum grandiflorum and hybrids,Viburnum,Caprifoliaceae,Himalayan/Bodnant viburnum,non-native,single flower,14.70,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 1 day)
Viburnum lantana,Viburnum,Caprifoliaceae,wayfaring tree,native,single flower,17.09,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Viburnum opulus,Viburnum,Caprifoliaceae,guelder-rose,native,single flower,17.09,empirical,Tew et al. (this study),1 species in genus (Viburnum lantana); 20 flowers measured (2 sites on 2 days)
Viburnum plicatum,Viburnum,Caprifoliaceae,Japanese snowball,non-native,single flower,17.09,empirical,Tew et al. (this study),1 species in genus (Viburnum lantana); 20 flowers measured (2 sites on 2 days)
Viburnum tinus,Viburnum,Caprifoliaceae,laurustinus,non-native,single flower,56.34,empirical,Tew et al. (this study),same species; 40 flowers measured (2 sites on 2 days)
Vicia cracca,Vicia,Fabaceae,"tufted vetch, cow vetch",native,single flower,409.56,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 25 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Vicia faba,Vicia,Fabaceae,broad bean,non-native,single flower,300.34,empirical,Baude et al. 2016,1 species in genus (Vicia sativa); 10 flowers measured (1 site on 1 day)
Vicia hirsuta,Vicia,Fabaceae,hairy vetch,native,single flower,26.76,empirical,Hicks et al. 2016,same species; 11 flowers measured (1 site on 1 day)
Vicia sativa,Vicia,Fabaceae,common vetch,native,single flower,300.34,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Vicia sepium,Vicia,Fabaceae,bush vetch,native,single flower,117.07,empirical,Baude et al. 2016,same species; 7 flowers measured (1 site on 1 day)
Vicia sylvatica,Vicia,Fabaceae,wood vetch,native,single flower,409.56,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Vicia cracca); 25 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Vicia tetrasperma,Vicia,Fabaceae,"smooth vetch, lentil vetch",native,single flower,26.76,empirical,Hicks et al. 2016,1 species in genus (Vicia hirsuta); 11 flowers measured (1 site on 1 day)
Vinca major,Vinca,Apocyaceae,greater/large periwinkle,non-native,single flower,854.00,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Vinca minor,Vinca,Apocyaceae,lesser/dwarf periwinkle,non-native,single flower,427.99,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Viola spp,Viola,Violaceae,"violet, pansy",non-native,single flower,113.43,empirical,Baude et al. 2016,2 species in genus (unweighted mean of Viola arvensis and Viola riviniana/reichenbiana); 30 flowers measured (3 sites on 3 days)
Weigela spp,Weigela,Caprifoliaceae,weigela,non-native,single flower,1084.87,empirical,Tew et al. (this study),1 species in genus (Weigela florida); 38 flowers measured (2 sites on 2 days)
Wisteria spp,Wisteria,Fabaceae,wisteria,non-native,single flower,310.32,empirical,Tew et al. (this study),1 species in genus (Wisteria sinensis); 22 flowers measured (2 sites on 2 days)
Zantedeschia aethiopica,Zantedeschia,Araceae,calla/arum lily,non-native,single spadix,73.46,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
