plant species,plant family,plant genus,additional information,community studied,literature source 1,link 1,literature source 2,link 2,literature source 3,link 3,reference,class,subclass,order,alliance,suballiance,community,continent/region,country,location name,decimal longitude,absolute latitude,decimal latitude,altitude [meters above sea level],year of the  data collection,mean yearly air temperature in degrees Celsius,January - mean monthly temp. [degrees Celsius],February - mean monthly temp. [degrees Celsius],March - mean monthly temp. [degrees Celsius],April - mean monthly temp. [degrees Celsius],May - mean monthly temp. [degrees Celsius],June - mean monthly temp. [degrees Celsius],July - mean monthly temp. [degrees Celsius],August - mean monthly temp. [degrees Celsius],September - mean monthly temp. [degrees Celsius],October - mean monthly temp. [degrees Celsius],November - mean monthly temp. [degrees Celsius],December - mean monthly temp. [degrees Celsius],total yearly  pecipitation in mm,January - total precipitation,February - total precipitation,March - total precipitation,April - total precipitation,May - total precipitation,June - total precipitation,July - total precipitation,August - total precipitation,September - total precipitation,October - total precipitation,November - total precipitation,December - total precipitation,flowering start,flowering end,flowering peak,flowering peak 2 (if occured),flowering lenght,total number of plants per m^2,total number of trees examined,total number of flowers per m^2,total number of inflorescenses per m^2,total number of flowers per m^2 of crown surface,total number of inflorescenses per m^2 of crown surface,total number of flowers per a single tree,total number of flowers per plant,total number of inflorescenses per a single tree,total number of inflorescenses per plant,tree age,mean number of flowering flowers per m^2 per day,peak number of flowering flowers per m^2,flower longevity [days],total nectar in µg per flower,total nectar in µL per flower,nectar in µg/flower/day ,nectar in µL/flower/day ,nectar in µg/inflorescence/day ,sugar concentration % in nectar,total sugar in µg per flower,sugar in µg/flower/day,total sugar in mg per inflorescence,sugar in µg/inflorescence/day,sugar yield in kg/ha per 1 year,sugar yield in g per tree per 1 year,sugar yield in g per 1 m^3 of the tree crown,honey yield in kg/ha per 1 year,honey yield from 1 flower in mg per 1 year,honey yield in g per 1 m^3 of the tree crown,honey yield in kg/tree per 1 year,total pollen yield per 1 year in kg/ha,total pollen yield per 1 year in kg per a single tree,total pollen yield per 1 year in number of grains per a single tree,total pollen in µg/flower,total pollen in µL/flower,total pollen per flower (the number of grains),total pollen in µg/inflorescence,total pollen in µL/inflorescence,total pollen in µg/plant/year,total pollen in number of grains per inflorescence,pollen in µg/flower/day ,pollen in µL/flower/day ,pollen in µL/inflorescence/day ,yearly pollen yield in number of grains per m^2 of the  crown,yearly pollen yield in g per 1 m^3 of the tree crown
Salix caprea x fragilis,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,93,108,100,,16,,,,,,,,,,,,,,,330,,,,,50,17,,10.8,,,,1.1,,,1.4,,,,,38,,,19800,,,,,,,,2.1
Salix caprea x fragilis,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,108,120,113,,13,,,,,,,,,,,,,,,730,,,,,35,26,,16.7,,,,1.7,,,1.4,,,,,76,,,39600,,,,,,,,4.1
Salix cinerea,Salicaceae,Salix,,natural phytocenosis (wetland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03,,,,,,,,3612.14,,,,,,,,,,,,,,,,,,,,,
Salix cinerea,Salicaceae,Salix,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,60,120,90,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix daphnoides,Salicaceae,Salix,variety 'Pomeranica'; males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,107,120,114,,14,,,,,,,,,,,,,,,1400,,,,,26,37,,17.2,,,,2.3,,,2.5,,,,,54,,,20200,,,,,,,,2.8
Salix daphnoides,Salicaceae,Salix,variety 'Pomeranica'; males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,92,102,98,,11,,,,,,,,,,,,,,,860,,,,,26,22,,10.5,,,,1.5,,,2.5,,,,,74,,,27700,,,,,,,,3.8
Salix daphnoides,Salicaceae,Salix,variety 'Pomeranica'; males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,81,95,87,,15,,,,,,,,,,,,,,,1700,,,,,34,59,,27.5,,,,3.8,,,2.5,,,,,75,,,28000,,,,,,,,3.9
Salix daphnoides,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,81,93,87,,13,,,,,,,,,,,,,,,1100,,,,,54,59,,26.1,,,,4,,,3.4,,,,,94,,,33100,,,,,,,,5
Salix daphnoides,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,106,119,113,,14,,,,,,,,,,,,,,,2300,,,,,22,51,,22.4,,,,3.5,,,3.4,,,,,95,,,33400,,,,,,,,5
Salix daphnoides,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,92,102,97,,11,,,,,,,,,,,,,,,600,,,,,51,34,,14.9,,,,2.3,,,3.4,,,,,102,,,35800,,,,,,,,5.5
Salix daphnoides,Salicaceae,Salix,data collected in the literature search in 2017-2018,unknown,Pamminger et al. 2019,https://peerj.com/articles/6329/,,,,,"Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix Elaeagnos,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,121,142,132,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,4800,,,,,,,,1.9
Salix Elaeagnos,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,5100,,,,,,,,2
Salix Elaeagnos,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,113,132,123,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,7800,,,,,,,,3.1
Salix Erdingeri,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,92,105,98,,14,,,,,,,,,,,,,,,1100,,,,,28,30,,21.4,,,,3.4,,,6.9,,,,,55,,,31100,,,,,,,,4.8
Salix Erdingeri,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,107,121,114,,15,,,,,,,,,,,,,,,1500,,,,,46,71,,49.9,,,,7.8,,,6.9,,,,,58,,,32800,,,,,,,,5.2
Salix Erdingeri,Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,81,95,87,,15,,,,,,,,,,,,,,,1800,,,,,47,84,,50.8,,,,9.4,,,6.9,,,,,60,,,33900,,,,,,,,5.3
Salix fragilis,Salicaceae,Salix,modelled values,modelled,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612.14,,,,,,,,,,,,,,,,,,,,,
Salix fragilis,Salicaceae,Salix,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,91,151,120,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix fragilis,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,123,138,129,,16,,,,,,,,,,,,,,,830,,,,,36,30,,5.8,,,,0.9,,,0.9,,,,,45,,,6900,,,,,,,,1.1
Salix fragilis,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,112,127,116,,16,,,,,,,,,,,,,,,460,,,,,63,29,,5.7,,,,0.9,,,0.9,,,,,78,,,12000,,,,,,,,1.9
Salix fragilis,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,121,137,128,,17,,,,,,,,,,,,,,,600,,,,,55,37,,7,,,,1.1,,,0.9,,,,,95,,,14600,,,,,,,,2.3
Salix fragilis,Salicaceae,Salix,males,botanical garden,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Lublin,22,51,51,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,122,138,130,,17,,,,,,,,,,,,,,,730,,,,,60,44,,8.5,,,,1.12,,,0.9,,,,,,,,,,,,,,,,
Salix herbacea,Salicaceae,Salix,female flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix herbacea,Salicaceae,Salix,male flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix inticensis (daphnoides x nigricans),Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,101,118,109,,18,,,,,,,,,,,,,,,600,,,,,51,34,,14.4,,,,2.7,,,4.7,,,,,58,,,19600,,,,,,,,3.7
Salix inticensis (daphnoides x nigricans),Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,96,110,102,,15,,,,,,,,,,,,,,,900,,,,,56,49,,21,,,,4,,,4.7,,,,,61,,,20700,,,,,,,,3.9
Salix inticensis (daphnoides x nigricans),Salicaceae,Salix,males,field experiment,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,108,122,114,,15,,,,,,,,,,,,,,,1700,,,,,52,92,,38.9,,,,7.4,,,4.7,,,,,70,,,23700,,,,,,,,4.5
Salix lanata,Salicaceae,Salix,female flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix lanata,Salicaceae,Salix,male flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix lapponum,Salicaceae,Salix,female flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix lapponum,Salicaceae,Salix,male flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix myrsinites,Salicaceae,Salix,female flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix myrsinites,Salicaceae,Salix,male flowers,natural phytocenosis (various or unknown phytocenoses),Totland & Peeters 1999,http://bora.uib.no/handle/1956/2578,,,,,"Totland, O., Peeters, L. 1999. Wind to insect pollination ratios and floral traits in five alpine Salix species. Canadian Journal of Botany. 77, pp. 556-563.",,,,,,,Europe,Norway,Hardangervidda,7.41,60.05,60.05,1275,1997,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix pentandra,Salicaceae,Salix,males,unknown,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,,18.78,53,53,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,143,158,149,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,14300,,,,,,,,2.2
Salix pentandra,Salicaceae,Salix,males,unknown,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,,18.78,53,53,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,158,173,165,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,14300,,,,,,,,2.2
Salix pentandra,Salicaceae,Salix,males,unknown,Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,,18.78,53,53,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,143,158,150,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,20000,,,,,,,,3.2
Salix purpurea,Salicaceae,Salix,males,natural phytocenosis (ruderal),Koter 1987,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-b0649489-3c1d-4657-b37b-6bf7bda051c2,,,,,"Koter, M. 1987. Nektarowanie i wydajność pyłkowa wybranych gatunków i mieszańców wierzb (Salix L.) [Nectar secretion and pollen productiveness of several species and hybrids of willow (Salix L.]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 131-154",,,,,,,Europe,Poland,Kazimierz Dolny,22,51.3,51.3,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,9800,,,,,,,,1.6
